x_value,total_1,total_2
0,1000,1000
1,1005,1007
2,1003,1015
3,1004,1022
4,1008,1025
5,1011,1034
6,1010,1035
7,1017,1034
8,1016,1032
9,1015,1037
10,1014,1037
11,1016,1042
12,1022,1040
13,1020,1039
14,1026,1037
15,1024,1035
16,1027,1036
17,1031,1032
18,1031,1041
19,1033,1046
20,1037,1045
21,1035,1044
22,1042,1044
23,1043,1046
24,1046,1052
25,1051,1053
26,1056,1058
27,1060,1056
28,1062,1055
29,1068,1052
30,1075,1050
31,1074,1050
32,1076,1059
33,1083,1063
34,1082,1059
35,1086,1064
36,1088,1073
37,1088,1078
38,1091,1079
39,1093,1082
40,1096,1085
41,1103,1084
42,1102,1086
43,1102,1085
44,1108,1081
45,1115,1082
46,1122,1078
47,1127,1076
48,1133,1074
49,1137,1081
50,1141,1082
51,1144,1086
52,1151,1085
53,1158,1093
54,1163,1091
55,1167,1099
56,1174,1104
57,1178,1104
58,1178,1113
59,1180,1121
60,1184,1127
61,1184,1124
62,1190,1121
63,1189,1126
64,1195,1124
65,1195,1127
66,1199,1127
67,1203,1130
68,1207,1139
69,1211,1135
70,1213,1136
71,1212,1138
72,1217,1141
73,1222,1139
74,1229,1148
75,1236,1144
76,1242,1145
77,1243,1153
78,1250,1158
79,1252,1160
80,1257,1161
81,1263,1168
82,1265,1176
83,1263,1183
84,1263,1187
85,1269,1193
86,1276,1192
87,1280,1200
88,1280,1198
89,1285,1206
90,1290,1202
91,1297,1198
92,1297,1198
93,1304,1205
94,1308,1208
95,1311,1217
96,1318,1221
97,1322,1226
98,1323,1229
99,1325,1231
100,1328,1230
101,1331,1226
102,1333,1231
103,1340,1240
104,1340,1246
105,1343,1252
106,1345,1254
107,1350,1253
108,1350,1259
109,1357,1263
110,1357,1272
111,1359,1276
112,1362,1274
113,1361,1276
114,1364,1283
115,1365,1289
116,1363,1296
117,1362,1296
118,1360,1305
119,1360,1308
120,1362,1312
121,1366,1320
122,1367,1317
123,1365,1323
124,1368,1332
125,1374,1328
126,1377,1329
127,1382,1336
128,1388,1337
129,1387,1346
130,1390,1342
131,1390,1349
132,1390,1352
133,1395,1350
134,1402,1353
135,1403,1360
136,1401,1361
137,1399,1357
138,1403,1364
139,1409,1362
140,1414,1365
141,1414,1367
142,1418,1364
143,1424,1367
144,1429,1376
145,1428,1383
146,1429,1392
147,1433,1389
148,1437,1387
149,1435,1387
150,1441,1384
151,1439,1393
152,1446,1392
153,1448,1393
154,1449,1390
155,1452,1387
156,1454,1388
157,1456,1397
158,1460,1403
159,1464,1406
160,1463,1403
161,1468,1401
162,1474,1404
163,1476,1406
164,1482,1412
165,1486,1420
166,1492,1424
167,1493,1431
168,1500,1430
169,1505,1428
170,1509,1430
171,1508,1431
172,1514,1439
173,1514,1436
174,1519,1440
175,1519,1447
176,1525,1451
177,1526,1454
178,1532,1460
179,1534,1458
180,1540,1458
181,1539,1462
182,1538,1460
183,1545,1468
184,1547,1470
185,1546,1476
186,1546,1481
187,1550,1483
188,1554,1490
189,1556,1494
190,1558,1499
191,1561,1503
192,1566,1511
193,1573,1510
194,1578,1511
195,1579,1507
196,1582,1508
197,1584,1504
198,1591,1505
199,1598,1514
200,1597,1514
201,1595,1512
202,1599,1519
203,1597,1523
204,1601,1531
205,1601,1528
206,1602,1537
207,1600,1533
208,1602,1535
209,1606,1539
210,1610,1540
211,1610,1544
212,1614,1549
213,1618,1550
214,1616,1551
215,1623,1552
216,1623,1552
217,1622,1557
218,1622,1557
219,1629,1557
220,1631,1556
221,1630,1560
222,1630,1565
223,1634,1570
224,1634,1574
225,1638,1578
226,1640,1575
227,1645,1578
228,1643,1584
229,1646,1581
230,1644,1586
231,1649,1584
232,1655,1590
233,1654,1594
234,1659,1599
235,1665,1596
236,1671,1604
237,1670,1610
238,1676,1608
239,1683,1614
240,1687,1612
241,1692,1617
242,1699,1617
243,1704,1618
244,1707,1626
245,1714,1629
246,1719,1628
247,1726,1636
248,1729,1635
249,1736,1641
250,1737,1650
251,1744,1648
252,1746,1644
253,1753,1645
254,1751,1642
255,1752,1651
256,1757,1648
257,1757,1648
258,1756,1653
259,1758,1659
260,1764,1657
261,1763,1660
262,1762,1669
263,1768,1665
264,1768,1670
265,1767,1675
266,1771,1671
267,1777,1678
268,1779,1686
269,1782,1685
270,1789,1692
271,1792,1697
272,1797,1698
273,1803,1704
274,1810,1701
275,1817,1710
276,1816,1712
277,1817,1721
278,1818,1723
279,1817,1723
280,1816,1727
281,1823,1736
282,1821,1744
283,1825,1746
284,1828,1753
285,1834,1760
286,1835,1758
287,1837,1754
288,1841,1750
289,1839,1758
290,1844,1758
291,1844,1757
292,1843,1753
293,1841,1752
294,1843,1760
295,1848,1760
296,1850,1760
297,1850,1761
298,1857,1762
299,1864,1761
300,1865,1759
301,1866,1766
302,1865,1767
303,1872,1770
304,1879,1775
305,1883,1779
306,1884,1781
307,1885,1787
308,1883,1784
309,1881,1790
310,1883,1786
